,App ID,Name,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU
19930,1674370,战斗俄罗斯方块,"Action, Casual, Indie, Strategy","Multi-player, Online PvP, PvP",10000.0,0,1,499,499,0,1
19932,1674470,ELYON,"Action, Adventure, Free to Play, Massively Multiplayer","Multi-player, Co-op, MMO, In-App Purchases, Online PvP, Online Co-op, PvP",750000.0,2417,2037,0,0,0,11
19940,1674820,TFC: The Fertile Crescent,"Strategy, Early Access","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,78,6,1499,1499,0,2
19964,1676060,Beta Escape,"Adventure, Indie","Multi-player, Single-player, Co-op, LAN Co-op",10000.0,1,0,199,199,0,0
19971,1676380,Kingdom of Atham: Crown of the Champions,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Early Access","Multi-player, Single-player, Co-op, Includes Source SDK, Steam Trading Cards, Online PvP, Online Co-op, LAN PvP, LAN Co-op, PvP",10000.0,173,35,1399,1999,30,35
19983,1676870,ECO HOLE,"Adventure, Indie","Multi-player, Single-player, Co-op, Partial Controller Support, Online Co-op",35000.0,29,0,269,899,70,0
19992,1677400,Black Lotus Motel,Simulation,"Multi-player, Co-op, Steam Achievements, Online Co-op",35000.0,11,1,299,299,0,2
19996,1677570,Vacuum Pilot,"Free to Play, Racing","Multi-player, Single-player, Stats, Includes level editor, Steam Achievements, Steam Cloud, Steam Leaderboards, Steam Workshop, In-App Purchases, Online PvP, PvP",10000.0,44,4,0,0,0,12
20003,1677740,Stumble Guys,"Action, Casual, Indie","Multi-player, Partial Controller Support, Cross-Platform Multiplayer, In-App Purchases, Online PvP, PvP",3500000.0,52463,7317,0,0,0,21386
20006,1677840,Color Your World,"Adventure, Casual, Strategy","Multi-player, Single-player, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, PvP",10000.0,4,0,999,999,0,0
20007,1677870,Gefragt Gejagt - Das Spiel,"Casual, Indie, Simulation","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Shared/Split Screen, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,4,8,3499,3499,0,1
20009,1677980,Unmatched: Digital Edition,"Casual, Indie, Simulation, Strategy, Early Access","Multi-player, Single-player, Co-op, Steam Achievements, Cross-Platform Multiplayer, Online PvP, Online Co-op, PvP",10000.0,0,0,1999,1999,0,4
20012,1678090,Dark Home,"Action, Early Access","Multi-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,10,12,99,99,0,0
20015,1678250,Old Future: Post-Apocalyptic Times,"Action, Adventure, Indie, RPG, Simulation, Early Access","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, LAN PvP, LAN Co-op, PvP",10000.0,14,9,1039,1299,20,1
20018,1678340,Side Effect,"Indie, Strategy, Early Access","Multi-player, Single-player, Co-op, Online Co-op",10000.0,3,0,799,799,0,0
20031,1678760,Arcano: The Trickery,Strategy,"Multi-player, Single-player, Online PvP, PvP",10000.0,8,2,499,499,0,0
20037,1678980,Reef Rumble,"Action, Casual, Indie","Multi-player, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,2,0,999,999,0,0
20038,1679060,NMDC,"Adventure, Free to Play, Indie, RPG, Simulation, Strategy, Early Access","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",75000.0,2,0,899,899,0,0
20047,1679490,Sphere Arena,"Action, Casual, Indie, Racing, Early Access","Multi-player, Single-player, Co-op, Full controller support, Online PvP, Online Co-op, PvP",10000.0,3,0,899,899,0,0
20048,1679670,Prehistoric Marine Monsters,"Action, Adventure, Massively Multiplayer, Simulation","Multi-player, MMO, Online PvP, PvP",10000.0,17,17,0,0,0,1
20052,1679800,Get Tanked!,"Action, Indie, Sports, Early Access","Multi-player, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",150000.0,2,0,899,899,0,0
20057,1679930,Mini Golf Worlds VR,"Indie, Sports","Multi-player, Single-player, Online PvP, PvP",10000.0,12,0,499,499,0,0
20066,1680300,Spades,"Casual, Indie, Strategy","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,2,3,399,399,0,0
20078,16810,Sid Meier's Civilization IV: Colonization,Strategy,"Multi-player, Single-player",1500000.0,855,145,1999,1999,0,336
20083,1681110,Drunken Nuke'em,"Action, Casual, Indie, Early Access","Multi-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,12,1,199,199,0,1
20090,1681510,Trenches - World War 1 Horror Survival Game,"Action, Adventure, Indie, Simulation, Early Access","Multi-player, Single-player, Co-op",10000.0,71,13,999,999,0,0
20098,1681880,NHRA Championship Drag Racing: Speed For All,Racing,"Multi-player, Single-player, Steam Achievements",10000.0,31,70,4999,4999,0,4
20099,1681890,Little League World Series Baseball 2022,Sports,"Multi-player, Single-player, Steam Achievements, Full controller support",10000.0,3,9,4999,4999,0,0
20104,1682050,PropHunter,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Sports, Early Access","Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Online PvP, Online Co-op, PvP",10000.0,129,16,399,399,0,2
20106,1682070,ball heroes,"Action, Adventure, Indie, Sports, Early Access","Multi-player, Co-op, MMO, Online PvP, Online Co-op, PvP",10000.0,7,0,999,999,0,0
20111,1682380,Survive The Hill,"Action, Adventure, Casual, Indie, Early Access","Multi-player, Single-player, Co-op, Steam Achievements, Full controller support, Online PvP, Online Co-op, PvP",10000.0,45,15,799,799,0,0
20117,1682580,Smithy Wars,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation","Multi-player, Single-player, Steam Achievements, Cross-Platform Multiplayer, Online PvP, PvP",10000.0,19,6,399,399,0,0
20121,1682840,Evorales,"Action, Indie","Multi-player, Co-op, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Shared/Split Screen Co-op",10000.0,13,0,599,599,0,0
20131,1683090,Auction,"Action, Adventure, Casual","Multi-player, Single-player, Co-op, Online Co-op, LAN Co-op",75000.0,5,9,0,0,0,0
20134,1683200,Dark Witch Music Episode: Rudymical,"Action, Casual, Indie","Multi-player, Single-player, Steam Achievements, Steam Cloud, Full controller support, Remote Play Together",10000.0,12,2,799,799,0,0
20138,1683340,Kayak VR: Mirage,"Casual, Indie, Racing, Simulation","Multi-player, Single-player, Steam Achievements, Steam Cloud",35000.0,416,52,2299,2299,0,4
20143,1683610,Profectus,"Adventure, Indie, Simulation, Early Access","Multi-player, Single-player, Steam Achievements",10000.0,1,0,499,499,0,1
20147,1683690,Skiing VR,"Casual, Indie, Massively Multiplayer, Racing, Simulation, Sports","Multi-player, Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Online PvP, LAN PvP, PvP",10000.0,23,3,1499,1499,0,0
20150,1683890,RETROLD,"Action, Casual, Indie","Multi-player, Single-player, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,14,0,99,99,0,0
20154,1684080,Toroom,"Action, Adventure","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen Co-op, Remote Play Together",10000.0,100,17,1199,1199,0,1
20167,1684830,Meow'n'Dash,"Action, Casual, Indie","Multi-player, Single-player, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,17,1,249,499,50,0
20181,1685510,Couch Combat,Action,"Multi-player, Co-op, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,14,5,999,999,0,0
20186,1685750,Capcom Fighting Collection,Action,"Multi-player, Single-player, Partial Controller Support, Steam Achievements, Shared/Split Screen, Steam Trading Cards, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,371,34,3999,3999,0,18
20188,1685950,Seblen: Battle!,Casual,"Multi-player, Single-player, Cross-Platform Multiplayer, Online PvP, PvP",10000.0,2,0,99,99,0,0
