playtime_forever,App ID,Name,Short Description,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU,Is Multiplayer,Review Ratio
24.266666666666666,1343370,Old School RuneScape,"The best retro fantasy MMORPG on the planet. Old School is RuneScape but… older! This is the open world you know and love, but as it was in 2007. Saying that, it’s even better than that – Old School is shaped by you, its players, with regular new content, fixes and expansions voted for by the fans!","Adventure, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, Steam Achievements, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases",1500000.0,10950,1131,0,0,0,2189,Y,9.681697612732096
23.883333333333333,372000,Tree of Savior (English Ver.),Tree of Savior(abbreviated as TOS thereafter) is an MMORPG in which you embark on a journey to search for the goddesses in the world of chaos. Fairy-tale like colors accompanied with beautiful graphics in TOS will have you reminiscing about precious moments all throughout the game.,"Free to Play, Massively Multiplayer, RPG","Multi-player, Valve Anti-Cheat enabled, Partial Controller Support, MMO, Steam Trading Cards, In-App Purchases",1500000.0,12711,6987,0,0,0,423,Y,1.8192357234864749
22.316666666666666,291550,Brawlhalla,"An epic platform fighter for up to 8 players online or local. Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free! Play cross-platform with millions of players on PlayStation, Xbox, Nintendo Switch, iOS, Android &amp; Steam! Frequent updates. Over fifty Legends.","Action, Free to Play, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Steam Trading Cards, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",35000000.0,254203,48663,0,0,0,13566,Y,5.223742884737892
19.416666666666668,218230,PlanetSide 2,"PlanetSide 2 is an all-out planetary war, where thousands of players battle as one across enormous continents. Utilize infantry, ground and air vehicles, and teamwork to destroy your enemies in this revolutionary first-person shooter on a massive scale.","Action, Free to Play, Massively Multiplayer","Multi-player, MMO, Steam Cloud, Steam Trading Cards, Online PvP, PvP",7500000.0,55540,12362,0,0,0,2204,Y,4.49280051771558
18.783333333333335,440,Team Fortress 2,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","Action, Free to Play","Multi-player, Valve Anti-Cheat enabled, Captions available, Commentary available, Stats, Includes level editor, Partial Controller Support, Steam Achievements, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",75000000.0,846407,57423,0,0,0,108900,Y,14.739860334709087
15.133333333333333,4000,Garry's Mod,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,"Indie, Simulation","Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Captions available, Includes level editor, Steam Achievements, Steam Cloud, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Online PvP, Online Co-op, Remote Play on Tablet, LAN PvP, LAN Co-op, PvP",35000000.0,861240,29998,999,999,0,39043,Y,28.709913994266284
15.133333333333333,976730,Halo: The Master Chief Collection,"The Master Chief’s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you’re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience.",Action,"Multi-player, Single-player, Co-op, Steam Achievements, Cross-Platform Multiplayer, Full controller support, Steam Trading Cards, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, LAN PvP, LAN Co-op, PvP",7500000.0,181246,14148,3999,3999,0,4459,Y,12.81071529544812
14.25,632360,Risk of Rain 2,"Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing.","Action, Indie","Multi-player, Single-player, Co-op, Steam Cloud, Steam Leaderboards, Full controller support, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, PvP",7500000.0,206580,7652,1249,2499,50,8713,Y,26.996863565081025
13.3,1284210,Guild Wars 2,"Guild Wars 2 is an award-winning online roleplaying game with fast-paced action combat, deep character customization, and no subscription fee required. Choose from an arsenal of professions and weapons, explore a vast open world, compete in PVP modes and more. Join over 16 million players now!","Adventure, Free to Play, Massively Multiplayer, RPG","Multi-player, Co-op, MMO, In-App Purchases, Online PvP, Online Co-op, PvP",750000.0,4080,575,0,0,0,4799,Y,7.095652173913043
10.783333333333333,1284410,GWENT: The Witcher Card Game,Command mighty Witcher-world heroes in epic online PvP card battles!,"Free to Play, RPG, Strategy","Multi-player, Single-player, Partial Controller Support, Steam Achievements, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases, Online PvP, Remote Play on Tablet, PvP",1500000.0,20610,4672,0,0,0,1367,Y,4.41138698630137
9.516666666666667,236110,Dungeon Defenders II,"Dungeon Defenders II is a cooperative Action Tower Defense game packed with roleplaying elements like loot, leveling, and pets.","Action, Free to Play, Indie, RPG, Strategy","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Steam Trading Cards, Online Co-op",750000.0,15485,4519,0,0,0,480,Y,3.4266430626244744
8.166666666666666,1085660,Destiny 2,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","Action, Adventure, Free to Play","Multi-player, Single-player, Co-op, Steam Achievements, Full controller support, In-App Purchases, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, PvP",35000000.0,420074,81774,0,0,0,57116,Y,5.137011764130408
7.616666666666666,744900,Dead Frontier 2,"Online survival horror at its darkest. As one of the few survivors of the outbreak, you must scratch a living out of the decaying ruins of society. Scavenge for supplies, improve your skills, and trade with other players. All the while, keeping your eyes peeled for the infected lurking around every corner.","Action, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, Single-player, Co-op, MMO, Steam Trading Cards, In-App Purchases, Online PvP, Online Co-op, Remote Play on Tablet, PvP",3500000.0,14811,5980,0,0,0,1031,Y,2.476755852842809
6.35,504370,Battlerite,BATTLERITE​ ​is​ ​an​ ​action-packed​ ​team​ ​arena​ ​brawler.​ ​Experience​ ​the​ ​unique​ ​combination​ ​of​ top-down​ ​shooter​ meets​ ​fast-paced​ ​fighting​ ​game and challenge ​friends​ ​and​ foes​ ​in​ ​a​ ​battle​ ​of reaction. The Arena awaits!,"Action, Free to Play","Multi-player, Single-player, Steam Cloud, In-App Purchases, Online PvP, PvP",3500000.0,49353,9112,0,0,0,198,Y,5.41626426690079
5.866666666666666,570,Dota 2,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","Action, Free to Play, Strategy","Multi-player, Valve Anti-Cheat enabled, Co-op, Steam Trading Cards, Steam Workshop, In-App Purchases, SteamVR Collectibles",350000000.0,1534895,317916,0,0,0,852995,Y,4.82798915436782
